what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.epic.debug,0.5.30,"org.epic.debug",1346721262141
stopped,bundle,org.epic.perleditor,0.5.38,"org.epic.perleditor",1346721262142
stopped,bundle,com.aptana.rdt,1.3.1.1263228620,"com.aptana.rdt",1346721262142
stopped,bundle,org.rubypeople.rdt.launching,1.3.0.1262013875,"org.rubypeople.rdt.launching",1346721262374
stopped,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1346721262390
stopped,bundle,org.python.pydev.jython,1.6.1.2010080312,"org.python.pydev.jython",1346721262390
stopped,bundle,org.python.pydev.parser,1.6.1.2010080312,"org.python.pydev.parser",1346721262390
stopped,bundle,org.python.pydev.core,1.6.1.2010080312,"org.python.pydev.core",1346721262390
stopped,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1346721262390
stopped,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1346721262390
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1346721262390
stopped,bundle,org.eclipse.dltk.rse.core,1.0.0.v20090613-1432,"org.eclipse.dltk.rse.core",1346721262390
stopped,bundle,org.eclipse.rse.efs,2.1.100.v200905272300,"org.eclipse.rse.efs",1346721262390
stopped,bundle,org.epic.regexp,0.5.1,"org.epic.regexp",1346721262390
stopped,bundle,net.sourceforge.phpeclipse.ui,1.2.3.200910091456PRD,"net.sourceforge.phpeclipse.ui",1346721262390
stopped,bundle,org.eclipse.ecf.docshare,2.1.0.v20090916-2238,"org.eclipse.ecf.docshare",1346721262391
stopped,bundle,org.eclipse.ecf.presence.ui,2.0.0.v20090916-2238,"org.eclipse.ecf.presence.ui",1346721262391
stopped,bundle,org.eclipse.ecf.ui,2.1.0.v20090916-2238,"org.eclipse.ecf.ui",1346721262391
stopped,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1346721262412
stopped,bundle,org.eclipse.sdk,3.5.2.v201002111343,"org.eclipse.sdk",1346721262412
stopped,bundle,org.eclipse.test,3.3.0,"org.eclipse.test",1346721262412
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1346721262412
stopped,bundle,org.eclipse.rse.subsystems.shells.core,3.1.0.v200905272300,"org.eclipse.rse.subsystems.shells.core",1346721262412
stopped,bundle,org.eclipse.rse.subsystems.files.core,3.1.1.v200909160005,"org.eclipse.rse.subsystems.files.core",1346721262412
stopped,bundle,org.eclipse.rse.subsystems.processes.shell.linux,1.1.100.v200905272300,"org.eclipse.rse.subsystems.processes.shell.linux",1346721262412
